"ID";"RouteNumber";"RouteName";"TrackOfFollowing";"ReverseTrackOfFollowing";"TypeOfTransport";"CarrierName";"global_id";"ID_en";"RouteNumber_en";"RouteName_en";"TrackOfFollowing_en";"ReverseTrackOfFollowing_en";"TypeOfTransport_en";"CarrierName_en";"geodata_center";"geoarea";
"Код";"Номер маршрута";"Наименование маршрута";"Трасса следования маршрута (прямое направление)";"Трасса следования маршрута (обратное направление)";"Вид транспорта";"Наименование юридического лица или индивидуального предпринимателя, осуществляющего перевозки пассажиров по маршруту ";"global_id";"ID_en";"RouteNumber_en";"RouteName_en";"TrackOfFollowing_en";"ReverseTrackOfFollowing_en";"TypeOfTransport_en";"CarrierName_en";"geodata_center";"geoarea";
"795";"400";"Ст. Крюково - Метро «Речной вокзал»";"Ст. Крюково - Станция Крюково - Панфиловский просп. - Октябрьская - 12-й мкр. - Берёзовая ал. - Дом мебели - 1-й Торговый центр - К/т «Электрон» - М-н «Детский мир» - М-н «Океан» - Дом быта - М-н «Товары для дома» - Спортивная школа - Московский просп. - Дом журналистов - Елино - Санаторий им. Артема - Деревня Черная Грязь - Кирилловка - Черкизово - Новоподрезково - Молжаниновка - Платф. Молжаниново - Монумент - 23-й км. - Родионово - Нагорное ш. - Ул. Маяковского - Бутаково - Химкинская б-ца - Канал им. Москвы - Беломорская ул. - Районный центр «Нева» - Метро «Беломорская» - Метро «Беломорская» - Метро «Речной вокзал»";"Метро «Речной вокзал» - Метро «Речной вокзал» - Беломорская ул. - Канал им. Москвы - Химкинская б-ца - Бутаково - Ул. Маяковского - Нагорное ш. - Родионово - 23-й км. - Монумент - Платф. Молжаниново - Молжаниновка - Новоподрезково - Черкизово - Кирилловка - Деревня Черная Грязь - Санаторий им. Артема - Елино - Дом журналистов - Московский просп. - Ведогонь театр - Студенческая - Музыкальная школа - Ул. Юности - К/т «Электрон» - 1-й Торговый центр - Дом мебели - Берёзовая ал. - 12-й мкр. - Октябрьская - Панфиловский просп. - Ст. Крюково";"Автобус";"ГУП «Мосгортранс»";"2255538338";"";"";"";"";"";"";"";"";"";
"514";"400К";"14-й мкр. - Метро «Сходненская»";"14-й мкр. - 14-й мкр. - Выставочный зал - Корпус 1407 - Дворец единоборств - Школа искусств - Центр занятости населения - Детская п-ка - Корпус 1538 - Корпус 1640 - Корпус 1645 - Пенсионный фонд - Ледовый дворец - Мкр. Зеленый бор - Кутузовская слобода - Кутузовское шоссе, 1 - Брехово-2 - Вахнеевка - Санаторий «Энергия» - Большаково - Школа - Ферма - Санаторий - 4-й мкр. Митина - Метро «Пятницкое ш.» - Метро «Митино» - Митинская улица, 26 - Школа № 1425 - Пос. Новобратцевский - Братцево - Бульв. Яна Райниса, 20 - Туристская ул. - Метро «Сходненская»";"Метро «Сходненская» - Метро «Сходненская» - Бульв. Яна Райниса, 10 - Туристская ул. - Бульв. Яна Райниса, 20 - Братцево - Посёлок Новобратцевский - Митинская улица, 26 - Митинская ул., 32 - Метро «Митино» - Метро «Пятницкое ш.» - Метро «Пятницкое ш.» - 4-й мкр. Митина - Санаторий - Школа - Большаково - Санаторий «Энергия» - Вахнеевка - Брехово-2 - Кутузовское шоссе, 1 - Кутузовская слобода - Мкр. Зеленый бор - Улица Радио - Овражная ул. - Ледовый дворец - Пенсионный фонд - Корпус 1645 - Корпус 1538 - Детская п-ка - Центр занятости населения - Школа искусств - Дворец единоборств - Корпус 1407 - Выставочный зал - 14-й мкр. - 14-й мкр.";"Автобус";"ГУП «Мосгортранс»";"2255538340";"";"";"";"";"";"";"";"";"";
"738";"400Т";"17-й мкр. - Метро «Тушинская»";"17-й мкр. - 17-й мкр. - Георгиевский просп. - 16-й мкр. - Корпус 1602 - Михайловский пруд - Рынок - Корпус 1538 - Детская п-ка - Центр занятости населения - Дежурная аптека - Новокрюковская ул. - Ст. Крюково - Заводская ул. - Мкр. Зеленый бор - Кутузовская слобода - Кутузовское шоссе, 1 - Брехово-2 - Вахнеевка - Санаторий «Энергия» - Большаково - Пос. Юрлово - Школа - Ферма - Больница - Санаторий - 4-й мкр. Митина - Метро «Пятницкое ш.» - Митинский радиорынок - 1-й мкр. Митина - МЦД Трикотажная - Метро «Тушинская» - Метро «Тушинская»";"Метро «Тушинская» - Метро «Тушинская» - МЦД Трикотажная - 1-й мкр. Митина - Митинский радиорынок - Метро «Пятницкое ш.» - 4-й мкр. Митина - Санаторий - Больница - Школа - Пос. Юрлово - Большаково - Санаторий «Энергия» - Вахнеевка - Брехово-2 - Кутузовское шоссе, 1 - Кутузовская слобода - Мкр. Зеленый бор - Заводская ул. - Ст. Крюково - Новокрюковская ул. - Дежурная аптека - Центр занятости населения - Детская п-ка - Корпус 1538 - Стоматологическая п-ка - Рынок - Михайловский пруд - 15-й мкр. - Корпус 1602 - Георгиевский просп. - 17-й мкр. - 17-й мкр.";"Автобус";"ГУП «Мосгортранс»";"2255538344";"";"";"";"";"";"";"";"";"";
"586";"146";"2-й мкр. Южного Бутова - Метро «Бульв. Дмитрия Донского»";"2-й мкр. Южного Бутова - 2-й мкр. Южного Бутова - Метро «Бульв. Адм. Ушакова» - Ул. Адм. Лазарева, 6 - Плавский пр. - Физико-математическая школа - Ул. Адм. Лазарева - Метро «Ул. Горчакова» - Южнобутовская ул. - 4-й мкр. Южного Бутова - Храм - Управление Соцзащиты - Чечерский пр., 10 - Поликлиника № 99 - Веневская ул. - Изюмская ул. - Школа - Новобутовская ул., 13 - Изюмская ул., 22 - Скобелевская ул. - Старокрымская ул. - Пожарное депо - Ул. Акад. Глушко - 3-й мкр. Северного Бутова - Ул. Грина, 9 - Ул. Грина - Метро «Бульв. Дмитрия Донского»";"Метро «Бульв. Дмитрия Донского» - Метро «Бульв. Дмитрия Донского» - Ул. Грина - Ул. Грина, 9 - 3-й мкр. Северного Бутова - Ул. Акад. Глушко - Ул. Поляны, 8 - Пожарное депо - Старокрымская ул. - Скобелевская ул. - Изюмская ул., 22 - Новобутовская ул., 13 - Школа - Изюмская ул. - Изюмская ул. - Мед. центр - Веневская ул. - Поликлиника № 99 - Чечерский пр., 10 - Управление Соцзащиты - Храм - 4-й мкр. Южного Бутова - Южнобутовская ул. - Метро «Ул. Горчакова» - Ул. Адм. Лазарева - Плавский пр. - Физико-математическая школа - Метро «Бульв. Адм. Ушакова» - Бульв. Адм. Ушакова - 2-й мкр. Южного Бутова - 2-й мкр. Южного Бутова";"Автобус";"ГУП «Мосгортранс»";"2255538346";"";"";"";"";"";"";"";"";"";
"781";"400Э";"Северная - Метро «Ховрино»";"Северная - М-н «Океан» - М-н «Товары для дома» - Спортивная школа - Московский просп. - Метро «Ховрино»";"Метро «Ховрино» - Московский просп. - Ведогонь театр - Студенческая - Музыкальная школа - Ул. Юности - К/т «Электрон» - 1-й Торговый центр - Берёзка - Автокомбинат - Северная";"Автобус";"ГУП «Мосгортранс»";"2255538348";"";"";"";"";"";"";"";"";"";
"732";"133";"Метро «Щелковская» - Метро «Рязанский просп.»";"Метро «Щелковская» - Метро «Щелковская» - 11-я Парковая ул. - Чусовская ул. - 15-я Парковая ул. - Новосибирская ул. - Хабаровская ул. - МКАД - Мкр. «1-е Мая» - Шоссе Энтузиастов - Ивановское - Саянская ул. - МФЦ Ивановское - Ул. Молостовых, 8 - Колледж индустрии гостеприимства и менеджмента - Предприятие № 12 Всероссийского Общества Слепых - Ул. Молостовых - Фрязевская ул. - Платф. Новогиреево - Свободный просп. - Вешняковская ул. - Музей «Кусково» - Ул. Молдагуловой - Ул. Юности, 11 - Аллея Первой Маёвки - Ул. Паперника, 17 - Театр Чихачева - Метро «Рязанский просп.»";"Метро «Рязанский просп.» - Метро «Рязанский просп.» - Театр Чихачева - Ул. Паперника, 17 - Аллея Первой Маёвки - Ул. Юности, 11 - Ул. Молдагуловой - Музей «Кусково» - Вешняковская ул. - Платф. Новогиреево - Фрязевская ул. - Ул. Молостовых, 19 - Предприятие № 12 Всероссийского Общества Слепых - Колледж индустрии гостеприимства и менеджмента - Ул. Молостовых, 8 - МФЦ Ивановское - Саянская ул. - Ивановское - Ивановский мост - Ул. Сталеваров - Шоссе Энтузиастов - Мкр. «1-е Мая» - МКАД - Хабаровская ул. - Новосибирская ул. - 15-я Парковая ул. - Чусовская ул. - 11-я Парковая улица - Метро «Щелковская» - Метро «Щелковская»";"Автобус";"ГУП «Мосгортранс»";"2255538351";"";"";"";"";"";"";"";"";"";
"359";"136";"ВДНХ (главный вход) - МЦД Лианозово";"ВДНХ (главный вход) - Метро «ВДНХ» - Метро «ВДНХ» - Ул. Бориса Галушкина - Ул. Докукина - МЦК Ростокино - Полиграфический колледж - Колледж современных технологий - МГСУ - Ул. Вешних Вод - Школа № 750 - Федоскинская ул. - Малыгинский пр. - Детская п-ка - Новый театр - Ул. Егора Абакумова - Поворот на Мытищи - Перловская - Тайнинская - Осташковское ш. - 10-й кв. Медведкова - Подушкино - 8-й мкр. Бибирева - Алтуфьевское ш. - Лианозовское кладб. - МЦД Марк - Дмитровское ш., 116 - МЦД Лианозово";"МЦД Лианозово - МЦД Лианозово - Дмитровское ш., 116 - МЦД Марк - Лианозовское кладб. - Алтуфьевское ш. - 8-й мкр. Бибирева - Подушкино - 10-й кв. Медведкова - Осташковское ш. - Тайнинская - Перловская - Поворот на Мытищи - Ул. Егора Абакумова - Новый театр - Детская п-ка - Малыгинский пр. - Федоскинская ул. - Школа № 750 - Ул. Вешних Вод - МГСУ - Колледж современных технологий - Полиграфический колледж - МЦК Ростокино - Ул. Докукина - Ул. Бориса Галушкина - Метро «ВДНХ» - ВДНХ (главный вход) - ВДНХ (главный вход)";"Автобус";"ГУП «Мосгортранс»";"2255538362";"";"";"";"";"";"";"";"";"";
"654";"117";"2-й мкр. Южного Бутова - Нововатутинский просп.";"2-й мкр. Южного Бутова - 2-й мкр. Южного Бутова - 3-й мкр. Южного Бутова - Метро «Бульв. Адм. Ушакова» - Мкр. Поляны - Центр социальной реабилитации - Южнобутовская ул. - 4-й мкр. Южного Бутова - Поликлиника № 121 - 5-й мкр. Южного Бутова - Южнобутовская ул. - Метро «Бунинская аллея» - Ул. Адм. Лазарева, 58 - Бартеневская ул. - Ул. Акад. Семенова - Комплекс «В» Южного Бутова - Школа - ЖК «Бунинский» - Пр. пр. № 7048 - Ивановское кладб. - Бунино - Ямонтово - Школа - Посёлок «Воскресенское» - Школа - Ямонтово - Садовое товарищество «Рассвет» - Коттеджный поселок - Поворот на с/х «Воскресенское» - Поворот на д. Городище - Ракитки - Оздоровительный комплекс «Десна» - Десна - 2 - Ватутинки - мкр. Южный - 6-я Нововатутинская улица - Чароитовая ул. - Нововатутинский просп., 8 - Нововатутинский просп.";"Нововатутинский просп. - Нововатутинский просп. - Светлая ул. - Ватутинки - мкр. Южный - Десна - 2 - Оздоровительный комплекс «Десна» - Ракитки - Поворот на д. Городище - Поворот на с/х «Воскресенское» - Коттеджный поселок - Садовое товарищество «Рассвет» - Ямонтово - Школа - Посёлок «Воскресенское» - Школа - Ямонтово - Бунино - Ивановское кладб. - Пр. пр. № 7048 - ЖК «Бунинский» - Школа - Комплекс «В» Южного Бутова - Ул. Акад. Семенова - Бартеневская ул. - Ул. Адм. Лазарева, 58 - Метро «Бунинская аллея» - 5-й мкр. Южного Бутова - 5-й мкр. Южного Бутова - Поликлиника № 121 - 4-й мкр. Южного Бутова - Южнобутовская ул. - Центр социальной реабилитации - Мкр. Поляны - Метро «Бульв. Адм. Ушакова» - Бульв. Адм. Ушакова - 2-й мкр. Южного Бутова - 2-й мкр. Южного Бутова";"Автобус";"ГУП «Мосгортранс»";"2255538367";"";"";"";"";"";"";"";"";"";
"14150245";"422";"Первомайское - Столбово";"Первомайское - Рабочая ул. - Ново-Никольское - ПСК «Сотрудничество» - Весенино-2 - Весенино-1 - Жилой комплекс - Рогозинино-2 - Рогозинино-1 - Поворот на Горчаково - Дубрава - Липовая ул. - Заречная ул. - Торговый центр - Пос. Птичное - Поповка - Полевая улица - Производственный комплекс - Поворот на Ширяево - Губцево - Пос. Светлый - Хутор - Складское хозяйство - Ботаково - Д. Жуковка - Хут. Ильичёвка, 8 - Творчество - Дачно-строительный кооператив - Согласие-1 - Согласие-2 - Фоминское - Московская ул. - Чароитовая ул. - Оздоровительный комплекс - Мкр. Центральный - Нововатутинский просп., 8 - Нововатутинский просп. - Нововатутинский просп. - Светлая ул. - Ватутинки - мкр. Южный - Десна - 2 - Оздоровительный комплекс «Десна» - Ракитки - Поворот на д. Городище - Коттеджный поселок - Поворот на с/х «Воскресенское» - Сосенки - Калужское ш. - Метро «Ольховая» - Метро «Коммунарка» - Столбово";"Столбово - Метро «Ольховая» - Калужское ш. - Сосенки - Поворот на с/х «Воскресенское» - Коттеджный поселок - Поворот на д. Городище - Ракитки - Оздоровительный комплекс «Десна» - Десна - 2 - Ватутинки - мкр. Южный - Нововатутинский просп., 8 - Нововатутинский просп. - Нововатутинский просп. - Мкр. Центральный - Чароит - Оздоровительный комплекс - Чароитовая ул. - Московская ул. - Фоминское - Согласие-2 - Согласие-1 - Дачно-строительный кооператив - Творчество - Хут. Ильичёвка, 8 - Д. Жуковка - Ботаково - Складское хозяйство - Хутор - Пос. Светлый - Губцево - Поворот на Ширяево - Производственный комплекс - Полевая ул. - Поповка - Пос. Птичное - Торговый центр - Заречная ул. - Липовая ул. - Поворот на Птичное - Дубрава - Поворот на Горчаково - Рогозинино-1 - Рогозинино-2 - Жилой комплекс - Весенино-1 - Весенино-2 - ПСК «Сотрудничество» - Ново-Никольское - Рабочая ул. - Первомайское";"Автобус";"ООО «Трансавтолиз»";"2255538372";"";"";"";"";"";"";"";"";"";
